Rank,party,total_allocation,state_component,iplc_component,component_iusaf_amt,component_tsac_amt,component_sosac_amt,WB Income Group,is_ldc,is_sids,is_eu_ms,un_band
69,Senegal,1.4038,0.7019,0.7019,1.3890,0.0148,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
70,Kyrgyzstan,1.4037,0.7019,0.7019,1.3890,0.0147,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
71,Syrian Arab Republic,1.4031,0.7016,0.7016,1.3890,0.0141,0.0000,Low income,False,False,False,Band 2: 0.001% - 0.01%
72,Cambodia,1.4026,0.7013,0.7013,1.3890,0.0135,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
73,Nepal,1.4000,0.7000,0.7000,1.3890,0.0110,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
74,Tajikistan,1.3997,0.6998,0.6998,1.3890,0.0106,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
75,Bangladesh,1.3990,0.6995,0.6995,1.3890,0.0100,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
76,Democratic People's Republic of Korea,1.3983,0.6991,0.6991,1.3890,0.0092,0.0000,Low income,False,False,False,Band 2: 0.001% - 0.01%
77,Nicaragua,1.3983,0.6991,0.6991,1.3890,0.0092,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
78,Benin,1.3977,0.6988,0.6988,1.3890,0.0086,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
79,Honduras,1.3976,0.6988,0.6988,1.3890,0.0086,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
80,Malawi,1.3963,0.6981,0.6981,1.3890,0.0072,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
81,Georgia,1.3944,0.6972,0.6972,1.3890,0.0053,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
82,Togo,1.3932,0.6966,0.6966,1.3890,0.0042,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
83,Republic of Moldova,1.3916,0.6958,0.6958,1.3890,0.0025,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
84,Armenia,1.3912,0.6956,0.6956,1.3890,0.0022,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
85,Equatorial Guinea,1.3912,0.6956,0.6956,1.3890,0.0022,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
86,Albania,1.3911,0.6956,0.6956,1.3890,0.0021,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
87,North Macedonia,1.3910,0.6955,0.6955,1.3890,0.0019,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
88,Rwanda,1.3909,0.6955,0.6955,1.3890,0.0019,0.0000,Low income,True,False,False,Band 2: 0.001% - 0.01%
89,Djibouti,1.3908,0.6954,0.6954,1.3890,0.0018,0.0000,Lower middle income,True,False,False,Band 2: 0.001% - 0.01%
90,Eswatini,1.3904,0.6952,0.6952,1.3890,0.0013,0.0000,Lower middle income,False,False,False,Band 2: 0.001% - 0.01%
91,Montenegro,1.3901,0.6950,0.6950,1.3890,0.0010,0.0000,Upper middle income,False,False,False,Band 2: 0.001% - 0.01%
92,Algeria,1.3580,0.6790,0.6790,1.1753,0.1827,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
93,Guyana,1.3454,0.6727,0.6727,1.1753,0.0162,0.1538,High income,False,True,False,Band 3: 0.01% - 0.1%
94,Dominican Republic,1.3329,0.6664,0.6664,1.1753,0.0037,0.1538,Upper middle income,False,True,False,Band 3: 0.01% - 0.1%
95,Bahamas,1.3299,0.6650,0.6650,1.1753,0.0008,0.1538,High income,False,True,False,Band 3: 0.01% - 0.1%
96,Trinidad and Tobago,1.3296,0.6648,0.6648,1.1753,0.0004,0.1538,High income,False,True,False,Band 3: 0.01% - 0.1%
97,Libya,1.3103,0.6552,0.6552,1.1753,0.1350,0.0000,Upper middle income,False,False,False,Band 3: 0.01% - 0.1%
