party,un_share,un_share_fraction,inverted_share,total_allocation,state_envelope,iplc_envelope,World Bank Income Group,Party Status
Kenya,0.037,0.00037,0.0006090982645489757,0.6090982645489758,0.3045491322744879,0.3045491322744879,Lower middle income,Party
Turkmenistan,0.036,0.00035999999999999997,0.0006260176607864472,0.6260176607864473,0.31300883039322364,0.31300883039322364,Upper middle income,Party
Cyprus,0.035,0.00035000000000000005,0.0006439038796660599,0.6439038796660599,0.32195193983302994,0.32195193983302994,High income,Party
Iceland,0.035,0.00035000000000000005,0.0006439038796660599,0.6439038796660599,0.32195193983302994,0.32195193983302994,High income,Party
Azerbaijan,0.034,0.00034,0.0006628422290680029,0.6628422290680029,0.33142111453400147,0.33142111453400147,Upper middle income,Party
Trinidad and Tobago,0.033,0.00033,0.0006829283572215788,0.6829283572215789,0.3414641786107894,0.3414641786107894,High income,Party
Ghana,0.025,0.00025,0.000901465431532484,0.901465431532484,0.450732715766242,0.450732715766242,Lower middle income,Party
Côte d’Ivoire,0.024,0.00024,0.0009390264911796709,0.9390264911796709,0.4695132455898354,0.4695132455898354,Lower middle income,Party
Uzbekistan,0.024,0.00024,0.0009390264911796709,0.9390264911796709,0.4695132455898354,0.4695132455898354,Lower middle income,Party
Paraguay,0.023,0.00023,0.000979853729926613,0.979853729926613,0.4899268649633065,0.4899268649633065,Upper middle income,Party
Lebanon,0.022,0.00021999999999999998,0.0010243925358323683,1.0243925358323682,0.5121962679161841,0.5121962679161841,Lower middle income,Party
Jordan,0.021,0.00021,0.0010731731327767665,1.0731731327767666,0.5365865663883833,0.5365865663883833,Lower middle income,Party
Malta,0.02,0.0002,0.001126831789415605,1.1268317894156048,0.5634158947078024,0.5634158947078024,High income,Party
Brunei Darussalam,0.019,0.00018999999999999998,0.001186138725700637,1.1861387257006368,0.5930693628503184,0.5930693628503184,High income,Party
Bolivia,0.018,0.00017999999999999998,0.0012520353215728945,1.2520353215728945,0.6260176607864473,0.6260176607864473,Lower middle income,Party
Tunisia,0.018,0.00017999999999999998,0.0012520353215728945,1.2520353215728945,0.6260176607864473,0.6260176607864473,Lower middle income,Party
"Bahamas, The",0.015,0.00015,0.0015024423858874733,1.5024423858874734,0.7512211929437367,0.7512211929437367,High income,Party
Bosnia and Herzegovina,0.014,0.00014000000000000001,0.0016097596991651497,1.6097596991651495,0.8048798495825747,0.8048798495825747,Upper middle income,Party
Cameroon,0.014,0.00014000000000000001,0.0016097596991651497,1.6097596991651495,0.8048798495825747,0.8048798495825747,Lower middle income,Party
Botswana,0.013,0.00013,0.0017335873683317002,1.7335873683317,0.86679368416585,0.86679368416585,Upper middle income,Party
El Salvador,0.013,0.00013,0.0017335873683317002,1.7335873683317,0.86679368416585,0.86679368416585,Upper middle income,Party
Gabon,0.011,0.00010999999999999999,0.0020487850716647367,2.0487850716647364,1.0243925358323682,1.0243925358323682,Upper middle income,Party
Guyana,0.011,0.00010999999999999999,0.0020487850716647367,2.0487850716647364,1.0243925358323682,1.0243925358323682,High income,Party
Monaco,0.011,0.00010999999999999999,0.0020487850716647367,2.0487850716647364,1.0243925358323682,1.0243925358323682,High income,Party
Albania,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Upper middle income,Party
Angola,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Lower middle income,Party
Bangladesh,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Lower middle income,Party
Democratic Republic of the Congo,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Low income,Party
Ethiopia,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Not Available,Party
Honduras,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Lower middle income,Party
Mauritius,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Upper middle income,Party
Myanmar,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Lower middle income,Party
Nepal,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Lower middle income,Party
Tanzania,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Lower middle income,Party
Uganda,0.01,0.0001,0.00225366357883121,2.2536635788312096,1.1268317894156048,1.1268317894156048,Low income,Party
Georgia,0.009,0.00008999999999999999,0.002504070643145789,2.504070643145789,1.2520353215728945,1.2520353215728945,Upper middle income,Party
Liechtenstein,0.009,0.00008999999999999999,0.002504070643145789,2.504070643145789,1.2520353215728945,1.2520353215728945,High income,Party
Papua New Guinea,0.009,0.00008999999999999999,0.002504070643145789,2.504070643145789,1.2520353215728945,1.2520353215728945,Lower middle income,Party
