iso3c,party,WB Income Group,WB Region,WB Lending Category,rank_iusaf,is_ldc,is_sids,un_band,band_weight,rank,alloc_iusaf,share_iusaf,rank_strict,alloc_strict,share_strict,rank_gini_minimum,alloc_gini_minimum,share_gini_minimum,rank_boundary,alloc_boundary,share_boundary
BRB,Barbados,High income,Latin America & Caribbean,IBRD,43,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,43,7388463,0.007388463,41,7825295,0.007825295,41,7751465,0.007751465,44,7677636,0.007677636
COG,Congo,Lower middle income,Sub-Saharan Africa,Blend,44,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,44,7388463,0.007388463,63,7121470,0.00712147,63,7091244,0.007091244,64,7061019,0.007061019
PRK,Democratic People's Republic of Korea,Low income,East Asia & Pacific,,45,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,45,7388463,0.007388463,75,7079072,0.007079072,75,7020582,0.007020582,76,6962091,0.006962091
LAO,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific,IDA,46,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,46,7388463,0.007388463,66,7100242,0.007100242,66,7055863,0.007055863,67,7011485,0.007011485
TZA,United Republic of Tanzania,Lower middle income,Sub-Saharan Africa,IDA,47,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,47,7388463,0.007388463,52,7225849,0.007225849,52,7265209,0.007265209,53,7304569,0.007304569
YEM,Yemen,Low income,"Middle East, North Africa, Afghanistan & Pakistan",IDA,48,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,48,7388463,0.007388463,61,7157229,0.007157229,61,7150842,0.007150842,62,7144456,0.007144456
LCA,Saint Lucia,Upper middle income,Latin America & Caribbean,Blend,49,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,49,7388463,0.007388463,38,7825330,0.00782533,38,7751523,0.007751523,41,7677716,0.007677716
COD,Democratic Republic of the Congo,Low income,Sub-Saharan Africa,IDA,50,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,50,7388463,0.007388463,43,7490726,0.007490726,43,7706672,0.007706672,32,7922617,0.007922617
SOM,Somalia,Low income,Sub-Saharan Africa,IDA,51,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,51,7388463,0.007388463,59,7176285,0.007176285,59,7182602,0.007182602,60,7188919,0.007188919
KGZ,Kyrgyzstan,Lower middle income,Europe & Central Asia,IDA,52,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,52,7388463,0.007388463,69,7092763,0.007092763,69,7043399,0.007043399,70,6994035,0.006994035
MDA,Republic of Moldova,Upper middle income,Europe & Central Asia,IBRD,53,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,53,7388463,0.007388463,82,7062297,0.007062297,82,6992622,0.006992622,83,6922947,0.006922947
MDG,Madagascar,Low income,Sub-Saharan Africa,IDA,54,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,54,7388463,0.007388463,60,7167552,0.007167552,60,7168047,0.007168047,61,7168542,0.007168542
ETH,Ethiopia,Low income,Sub-Saharan Africa,IDA,55,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,55,7388463,0.007388463,50,7272390,0.00727239,50,7342778,0.007342778,51,7413166,0.007413166
ZWE,Zimbabwe,Lower middle income,Sub-Saharan Africa,Blend,56,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,56,7388463,0.007388463,62,7130167,0.007130167,62,7105739,0.007105739,63,7081311,0.007081311
TCD,Chad,Low income,Sub-Saharan Africa,IDA,57,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,57,7388463,0.007388463,47,7297454,0.007297454,47,7384551,0.007384551,48,7471649,0.007471649
TJK,Tajikistan,Lower middle income,Europe & Central Asia,IDA,58,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,58,7388463,0.007388463,73,7082597,0.007082597,73,7026456,0.007026456,74,6970315,0.006970315
BGD,Bangladesh,Lower middle income,South Asia,IDA,59,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,59,7388463,0.007388463,74,7080908,0.007080908,74,7023640,0.00702364,75,6966373,0.006966373
HTI,Haiti,Lower middle income,Latin America & Caribbean,IDA,60,TRUE,TRUE,Band 2: 0.001% - 0.01%,1.3,60,7388463,0.007388463,34,7830498,0.007830498,34,7760136,0.007760136,37,7689775,0.007689775
GEO,Georgia,Upper middle income,Europe & Central Asia,IBRD,61,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,61,7388463,0.007388463,80,7069308,0.007069308,80,7004307,0.007004307,81,6939306,0.006939306
HND,Honduras,Lower middle income,Latin America & Caribbean,IDA,62,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,62,7388463,0.007388463,78,7077439,0.007077439,78,7017858,0.007017858,79,6958278,0.006958278
BEN,Benin,Lower middle income,Sub-Saharan Africa,IDA,63,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,63,7388463,0.007388463,77,7077605,0.007077605,77,7018137,0.007018137,78,6958668,0.006958668
AFG,Afghanistan,Low income,"Middle East, North Africa, Afghanistan & Pakistan",IDA,64,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,64,7388463,0.007388463,57,7181058,0.007181058,57,7190557,0.007190557,58,7200056,0.007200056
ZMB,Zambia,Lower middle income,Sub-Saharan Africa,IDA,65,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,65,7388463,0.007388463,55,7198539,0.007198539,55,7219693,0.007219693,56,7240847,0.007240847
MUS,Mauritius,Upper middle income,Sub-Saharan Africa,IBRD,66,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,66,7388463,0.007388463,37,7825596,0.007825596,37,7751966,0.007751966,40,7678337,0.007678337
ALB,Albania,Upper middle income,Europe & Central Asia,IBRD,67,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,67,7388463,0.007388463,85,7061236,0.007061236,85,6990855,0.006990855,86,6920473,0.006920473
GIN,Guinea,Lower middle income,Sub-Saharan Africa,IDA,68,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,68,7388463,0.007388463,65,7103103,0.007103103,65,7060632,0.007060632,66,7018161,0.007018161
SSD,South Sudan,Low income,Sub-Saharan Africa,IDA,69,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,69,7388463,0.007388463,58,7177165,0.007177165,58,7184069,0.007184069,59,7190973,0.007190973
MWI,Malawi,Low income,Sub-Saharan Africa,IDA,70,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,70,7388463,0.007388463,79,7074062,0.007074062,79,7012230,0.00701223,80,6950399,0.006950399
UGA,Uganda,Low income,Sub-Saharan Africa,IDA,71,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,71,7388463,0.007388463,67,7094435,0.007094435,67,7046186,0.007046186,68,6997936,0.006997936
SDN,Sudan,Low income,Sub-Saharan Africa,IDA,72,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,72,7388463,0.007388463,44,7414202,0.007414202,44,7579131,0.007579131,35,7744059,0.007744059
MKD,North Macedonia,Upper middle income,Europe & Central Asia,IBRD,73,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,73,7388463,0.007388463,86,7060818,0.007060818,86,6990158,0.006990158,87,6919497,0.006919497
MRT,Mauritania,Lower middle income,Sub-Saharan Africa,IDA,74,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,74,7388463,0.007388463,51,7253636,0.007253636,51,7311520,0.00731152,52,7369405,0.007369405
SUR,Suriname,Upper middle income,Latin America & Caribbean,Blend,75,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,75,7388463,0.007388463,33,7855993,0.007855993,33,7802628,0.007802628,34,7749263,0.007749263
MLI,Mali,Low income,Sub-Saharan Africa,IDA,76,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,76,7388463,0.007388463,49,7289974,0.007289974,49,7372083,0.007372083,50,7454193,0.007454193
PNG,Papua New Guinea,Lower middle income,East Asia & Pacific,Blend,77,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,77,7388463,0.007388463,32,7912056,0.007912056,32,7896067,0.007896067,33,7880078,0.007880078
NAM,Namibia,Lower middle income,Sub-Saharan Africa,IBRD,78,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,78,7388463,0.007388463,53,7213861,0.007213861,53,7245230,0.00724523,54,7276598,0.007276598
KHM,Cambodia,Lower middle income,East Asia & Pacific,IDA,79,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,79,7388463,0.007388463,71,7089832,0.007089832,71,7038515,0.007038515,72,6987197,0.006987197
ARM,Armenia,Upper middle income,Europe & Central Asia,IBRD,80,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,80,7388463,0.007388463,83,7061390,0.00706139,83,6991110,0.00699111,84,6920831,0.006920831
SYR,Syrian Arab Republic,Low income,"Middle East, North Africa, Afghanistan & Pakistan",IDA,81,FALSE,FALSE,Band 2: 0.001% - 0.01%,1.3,81,7388463,0.007388463,70,7091196,0.007091196,70,7040787,0.007040787,71,6990379,0.006990379
RWA,Rwanda,Low income,Sub-Saharan Africa,IDA,82,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,82,7388463,0.007388463,87,7060713,0.007060713,87,6989982,0.006989982,88,6919251,0.006919251
MOZ,Mozambique,Low income,Sub-Saharan Africa,IDA,83,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,83,7388463,0.007388463,54,7206783,0.007206783,54,7233433,0.007233433,55,7260083,0.007260083
NPL,Nepal,Lower middle income,South Asia,IDA,84,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,84,7388463,0.007388463,72,7083472,0.007083472,72,7027913,0.007027913,73,6972355,0.006972355
MDV,Maldives,Upper middle income,South Asia,IDA,85,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,85,7388463,0.007388463,42,7825270,0.00782527,42,7751423,0.007751423,45,7677577,0.007677577
TGO,Togo,Low income,Sub-Saharan Africa,IDA,86,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,86,7388463,0.007388463,81,7066412,0.007066412,81,6999481,0.006999481,82,6932550,0.00693255
ATG,Antigua and Barbuda,High income,Latin America & Caribbean,IBRD,87,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,87,7388463,0.007388463,40,7825297,0.007825297,40,7751469,0.007751469,43,7677640,0.00767764
JAM,Jamaica,Upper middle income,Latin America & Caribbean,IBRD,88,FALSE,TRUE,Band 2: 0.001% - 0.01%,1.3,88,7388463,0.007388463,36,7827289,0.007827289,36,7754789,0.007754789,39,7682289,0.007682289
DJI,Djibouti,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",IDA,89,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,89,7388463,0.007388463,88,7060427,0.007060427,88,6989506,0.006989506,89,6918585,0.006918585
SEN,Senegal,Lower middle income,Sub-Saharan Africa,IDA,90,TRUE,FALSE,Band 2: 0.001% - 0.01%,1.3,90,7388463,0.007388463,68,7092903,0.007092903,68,7043632,0.007043632,69,6994361,0.006994361
KEN,Kenya,Lower middle income,Sub-Saharan Africa,Blend,91,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,91,6251776,0.006251776,99,6081839,0.006081839,100,6093583,0.006093583,103,6105327,0.006105327
LKA,Sri Lanka,Lower middle income,South Asia,IDA,92,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,92,6251776,0.006251776,117,5982309,0.005982309,120,5927700,0.0059277,122,5873090,0.00587309
GUY,Guyana,High income,Latin America & Caribbean,IDA,93,FALSE,TRUE,Band 3: 0.01% - 0.1%,1.1,93,6251776,0.006251776,91,6780167,0.006780167,91,6744642,0.006744642,93,6709117,0.006709117
GTM,Guatemala,Upper middle income,Latin America & Caribbean,IBRD,94,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,94,6251776,0.006251776,113,5990996,0.005990996,116,5942178,0.005942178,118,5893360,0.00589336
BWA,Botswana,Upper middle income,Sub-Saharan Africa,IBRD,95,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,95,6251776,0.006251776,101,6079126,0.006079126,102,6089062,0.006089062,105,6098997,0.006098997
CIV,Côte d’Ivoire,Lower middle income,Sub-Saharan Africa,Blend,96,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,96,6251776,0.006251776,107,6031428,0.006031428,108,6009565,0.006009565,111,5987701,0.005987701
LBY,Libya,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",IBRD,97,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,97,6251776,0.006251776,96,6307867,0.006307867,97,6470297,0.006470297,95,6632727,0.006632727
TTO,Trinidad and Tobago,High income,Latin America & Caribbean,IBRD,98,FALSE,TRUE,Band 3: 0.01% - 0.1%,1.1,98,6251776,0.006251776,94,6740661,0.006740661,95,6678799,0.006678799,97,6616937,0.006616937
DZA,Algeria,Upper middle income,"Middle East, North Africa, Afghanistan & Pakistan",IBRD,99,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,99,6251776,0.006251776,95,6427184,0.006427184,96,6669159,0.006669159,92,6911133,0.006911133
TKM,Turkmenistan,Upper middle income,Europe & Central Asia,IBRD,100,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,100,6251776,0.006251776,103,6060563,0.006060563,104,6058123,0.006058123,107,6055683,0.006055683
BOL,Bolivia (Plurinational State of),Lower middle income,Latin America & Caribbean,IBRD,101,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,101,6251776,0.006251776,97,6178187,0.006178187,98,6254163,0.006254163,98,6330139,0.006330139
MAR,Morocco,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",IBRD,102,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,102,6251776,0.006251776,104,6056032,0.006056032,105,6050571,0.006050571,108,6045110,0.00604511
AZE,Azerbaijan,Upper middle income,Europe & Central Asia,IBRD,103,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,103,6251776,0.006251776,116,5986296,0.005986296,119,5934344,0.005934344,121,5882393,0.005882393
ECU,Ecuador,Upper middle income,Latin America & Caribbean,IBRD,104,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,104,6251776,0.006251776,109,6018073,0.006018073,110,5987307,0.005987307,113,5956541,0.005956541
BHS,Bahamas,High income,Latin America & Caribbean,,105,FALSE,TRUE,Band 3: 0.01% - 0.1%,1.1,105,6251776,0.006251776,93,6741597,0.006741597,94,6680358,0.006680358,96,6619120,0.00661912
VEN,Venezuela (Bolivarian Republic of),Lower middle income,Latin America & Caribbean,IBRD,106,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,106,6251776,0.006251776,98,6139594,0.006139594,99,6189841,0.006189841,102,6240089,0.006240089
LBN,Lebanon,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",IBRD,107,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,107,6251776,0.006251776,120,5972408,0.005972408,123,5911198,0.005911198,126,5849988,0.005849988
TUN,Tunisia,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",IBRD,108,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,108,6251776,0.006251776,112,6000239,0.006000239,115,5957583,0.005957583,116,5914927,0.005914927
GHA,Ghana,Lower middle income,Sub-Saharan Africa,IDA,109,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,109,6251776,0.006251776,110,6014079,0.006014079,111,5980650,0.00598065,114,5947222,0.005947222
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean,IBRD,110,FALSE,TRUE,Band 3: 0.01% - 0.1%,1.1,110,6251776,0.006251776,92,6748920,0.00674892,93,6692564,0.006692564,94,6636208,0.006636208
SRB,Serbia,Upper middle income,Europe & Central Asia,IBRD,111,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,111,6251776,0.006251776,115,5986572,0.005986572,118,5934804,0.005934804,120,5883037,0.005883037
JOR,Jordan,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",IBRD,112,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,112,6251776,0.006251776,114,5987474,0.005987474,117,5936308,0.005936308,119,5885142,0.005885142
UZB,Uzbekistan,Lower middle income,Europe & Central Asia,Blend,113,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,113,6251776,0.006251776,105,6054948,0.006054948,106,6048765,0.006048765,109,6042582,0.006042582
CMR,Cameroon,Lower middle income,Sub-Saharan Africa,Blend,114,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,114,6251776,0.006251776,102,6061096,0.006061096,103,6059012,0.006059012,106,6056927,0.006056927
BLR,Belarus,Upper middle income,Europe & Central Asia,IBRD,115,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,115,6251776,0.006251776,111,6009372,0.006009372,113,5972804,0.005972804,115,5936236,0.005936236
UKR,Ukraine,Upper middle income,Europe & Central Asia,IBRD,116,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,116,6251776,0.006251776,100,6081556,0.006081556,101,6093111,0.006093111,104,6104666,0.006104666
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,IBRD,117,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,117,6251776,0.006251776,118,5980265,0.005980265,121,5924292,0.005924292,123,5868320,0.00586832
PRY,Paraguay,Upper middle income,Latin America & Caribbean,IBRD,118,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,118,6251776,0.006251776,106,6046388,0.006046388,107,6034498,0.006034498,110,6022608,0.006022608
SLV,El Salvador,Upper middle income,Latin America & Caribbean,IBRD,119,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,119,6251776,0.006251776,119,5974420,0.00597442,122,5914551,0.005914551,125,5854682,0.005854682
GAB,Gabon,Upper middle income,Sub-Saharan Africa,IBRD,120,FALSE,FALSE,Band 3: 0.01% - 0.1%,1.1,120,6251776,0.006251776,108,6019859,0.006019859,109,5990283,0.005990283,112,5960706,0.005960706
