party,band,is_ldc,is_sids,A_strict_50m,B_bounded_50m,C_even_50m,diff_AtoC_50m,A_strict_100m,B_bounded_100m,C_even_100m,diff_AtoC_100m,A_strict_200m,B_bounded_200m,C_even_200m,diff_AtoC_200m,A_strict_500m,B_bounded_500m,C_even_500m,diff_AtoC_500m,A_strict_1000m,B_bounded_1000m,C_even_1000m,diff_AtoC_1000m
Honduras,Band 2,,,0.354,0.348,0.343,-0.01,0.708,0.696,0.687,-0.021,1.415,1.392,1.374,-0.042,3.539,3.479,3.434,-0.104,7.077,6.958,6.869,-0.209
Jamaica,Band 2,,Yes,0.391,0.384,0.379,-0.013,0.783,0.768,0.757,-0.025,1.565,1.536,1.515,-0.051,3.914,3.841,3.787,-0.127,7.827,7.682,7.574,-0.254
Kyrgyzstan,Band 2,,,0.355,0.35,0.346,-0.009,0.709,0.699,0.692,-0.017,1.419,1.399,1.384,-0.035,3.546,3.497,3.46,-0.086,7.093,6.994,6.92,-0.173
Lao People's Democratic Republic,Band 2,Yes,,0.355,0.351,0.347,-0.008,0.71,0.701,0.694,-0.016,1.42,1.402,1.389,-0.031,3.55,3.506,3.472,-0.078,7.1,7.011,6.945,-0.155
Madagascar,Band 2,Yes,,0.358,0.358,0.358,0.0,0.717,0.717,0.717,0.0,1.434,1.434,1.434,0.0,3.584,3.584,3.585,0.001,7.168,7.169,7.169,0.002
Malawi,Band 2,Yes,,0.354,0.348,0.343,-0.011,0.707,0.695,0.686,-0.022,1.415,1.39,1.372,-0.043,3.537,3.475,3.429,-0.108,7.074,6.95,6.858,-0.216
Maldives,Band 2,,Yes,0.391,0.384,0.378,-0.013,0.783,0.768,0.757,-0.026,1.565,1.536,1.513,-0.052,3.913,3.839,3.783,-0.129,7.825,7.678,7.567,-0.258
Mali,Band 2,Yes,,0.364,0.373,0.379,0.014,0.729,0.745,0.758,0.029,1.458,1.491,1.515,0.057,3.645,3.727,3.789,0.144,7.29,7.454,7.577,0.287
Mauritania,Band 2,Yes,,0.363,0.368,0.373,0.01,0.725,0.737,0.746,0.02,1.451,1.474,1.491,0.041,3.627,3.685,3.728,0.101,7.254,7.369,7.456,0.203
Mauritius,Band 2,,Yes,0.391,0.384,0.378,-0.013,0.783,0.768,0.757,-0.026,1.565,1.536,1.514,-0.052,3.913,3.839,3.784,-0.129,7.826,7.678,7.568,-0.258
Mongolia,Band 2,,,0.368,0.38,0.39,0.022,0.735,0.761,0.779,0.044,1.471,1.521,1.559,0.088,3.677,3.803,3.897,0.219,7.355,7.606,7.794,0.439
Montenegro,Band 2,,,0.353,0.346,0.34,-0.013,0.706,0.691,0.681,-0.025,1.412,1.383,1.361,-0.051,3.529,3.457,3.403,-0.126,7.059,6.914,6.806,-0.253
Mozambique,Band 2,Yes,,0.36,0.363,0.365,0.005,0.721,0.726,0.73,0.009,1.441,1.452,1.46,0.019,3.603,3.63,3.65,0.047,7.207,7.26,7.3,0.093
Myanmar,Band 2,Yes,,0.359,0.36,0.361,0.002,0.718,0.72,0.721,0.003,1.436,1.44,1.443,0.007,3.591,3.6,3.607,0.017,7.181,7.2,7.215,0.033
Namibia,Band 2,,,0.361,0.364,0.366,0.005,0.721,0.728,0.732,0.011,1.443,1.455,1.465,0.022,3.607,3.638,3.662,0.055,7.214,7.277,7.324,0.11
Nepal,Band 2,Yes,,0.354,0.349,0.344,-0.01,0.708,0.697,0.689,-0.019,1.417,1.394,1.378,-0.039,3.542,3.486,3.445,-0.097,7.083,6.972,6.889,-0.194
Nicaragua,Band 2,,,0.354,0.348,0.344,-0.01,0.708,0.696,0.687,-0.02,1.416,1.392,1.375,-0.041,3.54,3.481,3.437,-0.102,7.079,6.962,6.874,-0.205
Niger,Band 2,Yes,,0.365,0.374,0.38,0.015,0.73,0.748,0.761,0.031,1.46,1.495,1.521,0.062,3.649,3.738,3.804,0.154,7.299,7.475,7.607,0.308
North Macedonia,Band 2,,,0.353,0.346,0.341,-0.012,0.706,0.692,0.681,-0.025,1.412,1.384,1.363,-0.049,3.53,3.46,3.407,-0.124,7.061,6.919,6.814,-0.247
Papua New Guinea,Band 2,,Yes,0.396,0.394,0.393,-0.003,0.791,0.788,0.786,-0.006,1.582,1.576,1.571,-0.011,3.956,3.94,3.928,-0.028,7.912,7.88,7.856,-0.056
Republic of Moldova,Band 2,,,0.353,0.346,0.341,-0.012,0.706,0.692,0.682,-0.024,1.412,1.385,1.364,-0.049,3.531,3.461,3.409,-0.122,7.062,6.923,6.818,-0.244
Rwanda,Band 2,Yes,,0.353,0.346,0.341,-0.012,0.706,0.692,0.681,-0.025,1.412,1.384,1.363,-0.05,3.53,3.46,3.407,-0.124,7.061,6.919,6.813,-0.248
Saint Lucia,Band 2,,Yes,0.391,0.384,0.378,-0.013,0.783,0.768,0.757,-0.026,1.565,1.536,1.513,-0.052,3.913,3.839,3.784,-0.129,7.825,7.678,7.567,-0.258
Senegal,Band 2,Yes,,0.355,0.35,0.346,-0.009,0.709,0.699,0.692,-0.017,1.419,1.399,1.384,-0.034,3.546,3.497,3.46,-0.086,7.093,6.994,6.92,-0.172
Seychelles,Band 2,,Yes,0.391,0.384,0.378,-0.013,0.783,0.768,0.757,-0.026,1.565,1.536,1.513,-0.052,3.913,3.839,3.783,-0.129,7.825,7.678,7.567,-0.258
Somalia,Band 2,Yes,,0.359,0.359,0.36,0.001,0.718,0.719,0.72,0.002,1.435,1.438,1.44,0.004,3.588,3.594,3.599,0.011,7.176,7.189,7.198,0.022
South Sudan,Band 2,Yes,,0.359,0.36,0.36,0.001,0.718,0.719,0.72,0.002,1.435,1.438,1.44,0.005,3.589,3.595,3.601,0.012,7.177,7.191,7.201,0.024
Sudan,Band 2,Yes,,0.371,0.387,0.4,0.029,0.741,0.774,0.799,0.058,1.483,1.549,1.598,0.115,3.707,3.872,3.996,0.289,7.414,7.744,7.991,0.577
Suriname,Band 2,,Yes,0.393,0.387,0.383,-0.009,0.786,0.775,0.767,-0.019,1.571,1.55,1.534,-0.037,3.928,3.875,3.835,-0.093,7.856,7.749,7.669,-0.187
Syrian Arab Republic,Band 2,,,0.355,0.35,0.346,-0.009,0.709,0.699,0.691,-0.018,1.418,1.398,1.383,-0.035,3.546,3.495,3.457,-0.088,7.091,6.99,6.915,-0.176
Tajikistan,Band 2,,,0.354,0.349,0.344,-0.01,0.708,0.697,0.689,-0.02,1.417,1.394,1.377,-0.039,3.541,3.485,3.443,-0.098,7.083,6.97,6.886,-0.196
Togo,Band 2,Yes,,0.353,0.347,0.342,-0.012,0.707,0.693,0.683,-0.023,1.413,1.387,1.366,-0.047,3.533,3.466,3.416,-0.117,7.066,6.933,6.832,-0.234
Uganda,Band 2,Yes,,0.355,0.35,0.346,-0.008,0.709,0.7,0.693,-0.017,1.419,1.4,1.385,-0.034,3.547,3.499,3.463,-0.084,7.094,6.998,6.926,-0.169
United Republic of Tanzania,Band 2,Yes,,0.361,0.365,0.368,0.007,0.723,0.73,0.736,0.014,1.445,1.461,1.473,0.028,3.613,3.652,3.682,0.069,7.226,7.305,7.364,0.138
Yemen,Band 2,Yes,,0.358,0.357,0.357,-0.001,0.716,0.714,0.713,-0.002,1.431,1.429,1.427,-0.004,3.579,3.572,3.567,-0.011,7.157,7.144,7.135,-0.022
Zambia,Band 2,Yes,,0.36,0.362,0.364,0.004,0.72,0.724,0.727,0.007,1.44,1.448,1.455,0.015,3.599,3.62,3.636,0.037,7.199,7.241,7.273,0.074
Zimbabwe,Band 2,,,0.357,0.354,0.352,-0.004,0.713,0.708,0.704,-0.009,1.426,1.416,1.409,-0.017,3.565,3.541,3.522,-0.043,7.13,7.081,7.045,-0.085
Algeria,Band 3,,,0.321,0.346,0.364,0.042,0.643,0.691,0.727,0.085,1.285,1.382,1.455,0.169,3.214,3.456,3.637,0.423,6.427,6.911,7.274,0.847
Azerbaijan,Band 3,,,0.299,0.294,0.29,-0.009,0.599,0.588,0.58,-0.018,1.197,1.176,1.161,-0.036,2.993,2.941,2.902,-0.091,5.986,5.882,5.804,-0.182
Bahamas,Band 3,,Yes,0.337,0.331,0.326,-0.011,0.674,0.662,0.653,-0.021,1.348,1.324,1.305,-0.043,3.371,3.31,3.264,-0.107,6.742,6.619,6.527,-0.214
Belarus,Band 3,,,0.3,0.297,0.294,-0.006,0.601,0.594,0.588,-0.013,1.202,1.187,1.176,-0.026,3.005,2.968,2.941,-0.064,6.009,5.936,5.881,-0.128
Bolivia (Plurinational State of),Band 3,,,0.309,0.317,0.322,0.013,0.618,0.633,0.644,0.027,1.236,1.266,1.289,0.053,3.089,3.165,3.222,0.133,6.178,6.33,6.444,0.266
Bosnia and Herzegovina,Band 3,,,0.299,0.293,0.289,-0.01,0.598,0.587,0.578,-0.02,1.196,1.174,1.157,-0.039,2.99,2.934,2.892,-0.098,5.98,5.868,5.784,-0.196
Botswana,Band 3,,,0.304,0.305,0.306,0.002,0.608,0.61,0.611,0.003,1.216,1.22,1.223,0.007,3.04,3.049,3.057,0.017,6.079,6.099,6.114,0.035
Cameroon,Band 3,,,0.303,0.303,0.303,-0.0,0.606,0.606,0.605,-0.001,1.212,1.211,1.211,-0.001,3.031,3.028,3.027,-0.004,6.061,6.057,6.054,-0.007
Côte d’Ivoire,Band 3,,,0.302,0.299,0.298,-0.004,0.603,0.599,0.595,-0.008,1.206,1.198,1.191,-0.015,3.016,2.994,2.977,-0.038,6.031,5.988,5.955,-0.077
Dominican Republic,Band 3,,Yes,0.337,0.332,0.328,-0.01,0.675,0.664,0.655,-0.02,1.35,1.327,1.31,-0.039,3.374,3.318,3.276,-0.099,6.749,6.636,6.552,-0.197
Ecuador,Band 3,,,0.301,0.298,0.296,-0.005,0.602,0.596,0.591,-0.011,1.204,1.191,1.182,-0.022,3.009,2.978,2.955,-0.054,6.018,5.957,5.91,-0.108
El Salvador,Band 3,,,0.299,0.293,0.288,-0.01,0.597,0.585,0.576,-0.021,1.195,1.171,1.153,-0.042,2.987,2.927,2.882,-0.105,5.974,5.855,5.765,-0.21
