party,component_iusaf_amt,component_tsac_amt,component_sosac_amt,tsac_iusaf_ratio,sosac_iusaf_ratio,tsac_dominant
Serbia,5.7516339869281055,0.05375219284835362,0.0,0.009345551711134208,0.0,False
Azerbaijan,5.7516339869281055,0.05283171291374035,0.0,0.009185513722502581,0.0,False
Malawi,6.7973856209150325,0.060265866830096076,0.0,0.008866036177889135,0.0,False
Liberia,7.8431372549019605,0.0615698800707982,0.0,0.00785015970902677,0.0,False
Sri Lanka,5.7516339869281055,0.03954228385776139,0.0,0.006874965261633513,0.0,False
Georgia,6.7973856209150325,0.04441954906685804,0.0,0.00653479904541277,0.0,False
Sierra Leone,7.8431372549019605,0.04613905672248976,0.0,0.0058827297321174445,0.0,False
Bosnia and Herzegovina,5.7516339869281055,0.03272817545291599,0.0,0.005690239595791074,0.0,False
Dominican Republic,5.7516339869281055,0.030809243262561594,0.7692307692307692,0.005356607067240822,0.1337412587412587,False
Togo,6.7973856209150325,0.03476729419695509,0.0,0.005114803857821278,0.0,False
Bhutan,7.8431372549019605,0.02437993382371515,0.0,0.0031084415625236817,0.0,False
Republic of Moldova,6.7973856209150325,0.021049586282510222,0.0,0.0030967179819462154,0.0,False
Armenia,6.7973856209150325,0.018025707421757364,0.0,0.0026518588803162275,0.0,False
Equatorial Guinea,6.7973856209150325,0.01793018205965417,0.0,0.0026378056299298925,0.0,False
Haiti,6.7973856209150325,0.017616963193014933,0.7692307692307692,0.0025917263158954664,0.11316568047337278,False
Albania,6.7973856209150325,0.01751468764472457,0.0,0.00257668000927198,0.0,False
Lesotho,7.8431372549019605,0.01940678528809628,0.0,0.0024743651242322756,0.0,False
North Macedonia,6.7973856209150325,0.01612118329926838,0.0,0.002371674081526983,0.0,False
Rwanda,6.7973856209150325,0.015769611102020263,0.0,0.0023199524025087504,0.0,False
El Salvador,5.7516339869281055,0.013244683503601938,0.0,0.0023027688364217003,0.0,False
Guinea-Bissau,7.8431372549019605,0.0179749276120312,0.7692307692307692,0.0022918032705339783,0.09807692307692308,False
Solomon Islands,7.8431372549019605,0.01789182872904528,0.7692307692307692,0.0022812081629532736,0.09807692307692308,False
Djibouti,6.7973856209150325,0.014817170058566259,0.0,0.0021798336720775364,0.0,False
Burundi,7.8431372549019605,0.016415225500603172,0.0,0.0020929412513269047,0.0,False
Belize,7.8431372549019605,0.014580657853144796,0.7692307692307692,0.0018590338762759617,0.09807692307692308,False
Fiji,6.7973856209150325,0.011678589170405764,0.7692307692307692,0.0017181001375693094,0.11316568047337278,False
Eswatini,6.7973856209150325,0.010994621441213964,0.0,0.0016174779620247467,0.0,False
Montenegro,6.7973856209150325,0.008597538278158593,0.0,0.001264830150536793,0.0,False
Timor-Leste,7.8431372549019605,0.00950523376923556,0.7692307692307692,0.001211917305577534,0.09807692307692308,False
Lebanon,5.7516339869281055,0.006539242868815049,0.0,0.0011369365442371617,0.0,False
Bahamas,5.7516339869281055,0.0063986139899158,0.7692307692307692,0.001112486295973997,0.1337412587412587,False
Jamaica,6.7973856209150325,0.006922776174903909,0.7692307692307692,0.0010184468795772098,0.11316568047337278,False
Vanuatu,7.8431372549019605,0.0077921183353719895,0.7692307692307692,0.0009934950877599287,0.09807692307692308,False
Gambia,7.8431372549019605,0.006468928429365426,0.0,0.0008247883747440918,0.0,False
Trinidad and Tobago,5.7516339869281055,0.0032792097670597464,0.7692307692307692,0.0005701353345001604,0.1337412587412587,False
State of Palestine,7.8431372549019605,0.0038481175044248876,0.0,0.0004906349818141731,0.0,False
Cabo Verde,7.8431372549019605,0.0025760653725635046,0.7692307692307692,0.00032844833500184686,0.09807692307692308,False
Samoa,7.8431372549019605,0.0017770376515450475,0.7692307692307692,0.00022657230057199356,0.09807692307692308,False
Mauritius,6.7973856209150325,0.0012765266870990864,0.7692307692307692,0.00018779671454438485,0.11316568047337278,False
Comoros,7.8431372549019605,0.0011895924710522783,0.7692307692307692,0.0001516730400591655,0.09807692307692308,False
Singapore,4.967320261437909,0.0004589615229530015,0.7692307692307692,9.239620133132794e-05,0.1548582995951417,False
Sao Tome and Principe,7.8431372549019605,0.0006136532897421747,0.7692307692307692,7.824079444212729e-05,0.09807692307692308,False
Kiribati,7.8431372549019605,0.0005177699632199599,0.7692307692307692,6.601567031054489e-05,0.09807692307692308,False
Dominica,7.8431372549019605,0.000479416632611074,0.7692307692307692,6.112562065791194e-05,0.09807692307692308,False
Tonga,7.8431372549019605,0.00046023996730663104,0.7692307692307692,5.868059583159546e-05,0.09807692307692308,False
Saint Lucia,6.7973856209150325,0.00038992552785700686,0.7692307692307692,5.736404400204044e-05,0.11316568047337278,False
Micronesia (Federated States of),7.8431372549019605,0.00044745552377033573,0.7692307692307692,5.7050579280717806e-05,0.09807692307692308,False
Seychelles,6.7973856209150325,0.00029404220133479205,0.7692307692307692,4.3258131542522295e-05,0.11316568047337278,False
Antigua and Barbuda,6.7973856209150325,0.00028125775779849673,0.7692307692307692,4.137734321458654e-05,0.11316568047337278,False
