sweep_param,sweep_value,spearman_vs_pure_iusaf,gini_coefficient,pct_below_equality,max_tsac_iusaf_ratio,max_sosac_iusaf_ratio,max_sosac_ratio_parties,china_tsac_iusaf_ratio,brazil_tsac_iusaf_ratio,n_parties_tsac_dominant,tsac_balance_exceeded,band1_per_party_alloc_m,band1_pct_change_vs_iusaf,sids_total_m,ldc_total_m,band6_mean_alloc_m,band5_mean_alloc_m,band_order_preserved
tsac_beta,0.05,0.8519752083782173,0.08289088231791686,54.22535211267606,2.869300815584077,0.1548582995951417,"Cuba, Singapore",2.869300815584077,1.3623906534552537,2,True,8.412627068435585,-1.319884487250595,311.0119011273417,331.0782194360384,8.092655300568005,6.7501864205928195,False
tsac_beta,0.055,0.8218245464677395,0.08287509370886958,54.929577464788736,3.173478060514848,0.1557045198115086,"Cuba, Singapore",3.173478060514848,1.506818952236849,2,True,8.37235973311879,-1.7922203305165985,309.56378746059295,330.68025957974277,8.681403638240605,7.011735326931727,False
tsac_beta,0.06,0.8083406105016432,0.08319655132840587,54.929577464788736,3.48099791253277,0.15656003915113229,"Cuba, Singapore",3.48099791253277,1.6528343751808787,2,True,8.332092397801997,-2.264556173782581,308.11567379384445,330.28229972344724,9.270151975913206,7.2732842332706324,False
tsac_beta,0.065,0.7988076482637778,0.0836261759711574,52.816901408450704,3.791915773965254,0.15742501174312745,"Cuba, Singapore",3.791915773965254,1.8004632282126884,2,True,8.2918250624852,-2.736892017048605,306.6675601270957,329.8843398671516,9.858900313585803,7.534833139609539,False
tsac_beta,0.07,0.7864088543857138,0.08414994827257938,52.816901408450704,4.106288278302546,0.15829959514170036,"Cuba, Singapore",4.106288278302546,1.949732401833741,2,True,8.251557727168407,-3.2092278603145874,305.2194464603471,329.48638001085607,10.447648651258408,7.796382045948448,False
tsac_beta,0.075,0.7619788502577832,0.08478170748175962,52.816901408450704,4.424173324587738,0.15918395042182162,"Cuba, Singapore",4.424173324587738,2.100669387450558,2,True,8.211290391851612,-3.6815637035805904,303.77133279359856,329.08842015456037,11.036396988931008,8.057930952287354,False
tsac_beta,0.08,0.7429129257820526,0.0856295324071612,52.816901408450704,4.745630112966023,0.160078242278124,"Cuba, Singapore",4.745630112966023,2.253302294254082,2,True,8.17102305653482,-4.153899546846573,302.3232191268498,328.6904602982648,11.625145326603608,8.319479858626261,False
tsac_beta,0.085,0.7273841683153844,0.08660863651870443,52.816901408450704,5.070719181438979,0.16098263912715297,"Cuba, Singapore",5.070719181438979,2.407659866671205,2,True,8.130755721218021,-4.626235390112618,300.8751054601011,328.2925004419692,12.213893664276203,8.581028764965167,False
tsac_beta,0.09,0.7127182418801739,0.08766275571258086,52.112676056338024,5.399502443871853,0.1618973132131027,"Cuba, Singapore",5.399502443871853,2.56377150241125,2,True,8.090488385901228,-5.098571233378601,299.4269917933526,327.89454058567367,12.80264200194881,8.842577671304076,False
tsac_beta,0.095,0.6857195545540008,0.08887334563280525,52.112676056338024,5.732043229303962,0.16282244071717752,"Cuba, Singapore",5.732043229303962,2.7216672711311807,2,True,8.050221050584435,-5.570907076644583,297.9788781266039,327.49658072937797,13.391390339621406,9.104126577642981,False
tsac_beta,0.1,0.6662046057659807,0.09018732955614306,51.40845070422535,6.0684063226145994,0.16375820187072454,"Cuba, Singapore",6.0684063226145994,2.8813779337444436,3,True,8.009953715267638,-6.0432429199106075,296.5307644598552,327.0986208730824,13.98013867729401,9.365675483981889,False
