party,eligible,current_share,current_allocation_m,baseline_share,baseline_allocation_m,share_delta,allocation_delta_m,allocation_delta_pct
Somalia,True,0.007198395261318007,7.198395261318007,0.007388462631429384,7.388462631429383,-0.0001900673701113768,-0.1900673701113762,-2.5724887516228185
South Sudan,True,0.007201329291109587,7.201329291109587,0.007388462631429384,7.388462631429383,-0.00018713334031979657,-0.18713334031979567,-2.532777786866773
Uganda,True,0.0069255624518099294,6.925562451809929,0.007388462631429384,7.388462631429383,-0.0004629001796194543,-0.46290017961945384,-6.265175892618685
Zambia,True,0.007272576994937361,7.272576994937361,0.007388462631429384,7.388462631429383,-0.00011588563649202275,-0.11588563649202221,-1.56846751852087
Zimbabwe,True,0.007044668720015824,7.0446687200158244,0.007388462631429384,7.388462631429383,-0.00034379391141355943,-0.34379391141355864,-4.65311836255505
Angola,True,0.007594303908750001,7.594303908750001,0.007388462631429384,7.388462631429383,0.000205841277320617,0.20584127732061752,2.785982518812512
Cameroon,True,0.006053800702130213,6.053800702130213,0.006251776072747941,6.2517760727479414,-0.0001979753706177279,-0.19797537061772807,-3.1667060418353863
Central African Republic,True,0.008241359886614024,8.241359886614024,0.008525149190110827,8.525149190110827,-0.00028378930349680365,-0.2837893034968033,-3.328848530017503
Chad,True,0.0076022941859601855,7.602294185960186,0.007388462631429384,7.388462631429383,0.00021383155453080175,0.2138315545308025,2.8941278476688233
Congo,True,0.007015679994297275,7.015679994297275,0.007388462631429384,7.388462631429383,-0.0003727826371321087,-0.3727826371321079,-5.045469615645723
Democratic Republic of the Congo,True,0.008246534256862946,8.246534256862946,0.007388462631429384,7.388462631429383,0.0008580716254335619,0.8580716254335625,11.613669422695025
Equatorial Guinea,True,0.0068153158029746865,6.815315802974686,0.007388462631429384,7.388462631429383,-0.0005731468284546973,-0.5731468284546972,-7.75732188204646
Gabon,True,0.005916342365227966,5.916342365227965,0.006251776072747941,6.2517760727479414,-0.00033543370751997533,-0.33543370751997603,-5.36541462164907
Botswana,True,0.006113900371194337,6.113900371194337,0.006251776072747941,6.2517760727479414,-0.00013787570155360425,-0.13787570155360473,-2.2053845171233406
Eswatini,True,0.006808380242356246,6.808380242356247,0.007388462631429384,7.388462631429383,-0.0005800823890731374,-0.5800823890731364,-7.851192027493719
Lesotho,True,0.007862544040190057,7.862544040190057,0.008525149190110827,8.525149190110827,-0.0006626051499207704,-0.6626051499207701,-7.772358408570633
Namibia,True,0.0073236508468648605,7.323650846864861,0.007388462631429384,7.388462631429383,-6.481178456452328e-05,-0.06481178456452241,-0.877202576471363
South Africa,True,0.0057427542919101324,5.742754291910132,0.005399261153736857,5.399261153736858,0.0003434931381732752,0.3434931381732742,6.36185449069343
Benin,True,0.006869464313572666,6.869464313572665,0.007388462631429384,7.388462631429383,-0.0005189983178567181,-0.5189983178567177,-7.024442617453038
Burkina Faso,True,0.006972276808491553,6.972276808491552,0.007388462631429384,7.388462631429383,-0.00041618582293783107,-0.41618582293783124,-5.6329150419931855
Cabo Verde,True,0.008614944089505293,8.614944089505293,0.008525149190110827,8.525149190110827,8.979489939446583e-05,0.08979489939446594,1.0532941698970855
Côte d’Ivoire,True,0.0059549066391552,5.954906639155201,0.006251776072747941,6.2517760727479414,-0.00029686943359274066,-0.29686943359274043,-4.748561530967515
Gambia,True,0.007849606183331326,7.849606183331326,0.008525149190110827,8.525149190110827,-0.0006755430067795012,-0.6755430067795016,-7.9241194695235535
Ghana,True,0.005897078126485299,5.897078126485298,0.006251776072747941,6.2517760727479414,-0.0003546979462626422,-0.35469794626264317,-5.673554876810186
Guinea,True,0.006954455294201956,6.954455294201956,0.007388462631429384,7.388462631429383,-0.00043400733722742755,-0.4340073372274267,-5.874122383474287
